
Trial_number, time_asked, time_trial_ended, questioned_app, right_answer, num_user_manual_override_App1, num_user_manual_override_App2, num_user_manual_override_App3

0, 0, 16.67179, 2, 0, 0, 0, 0
1, 0, 17.61235, 1, 1, 0, 0, 0
