
Trial_number, time_asked, time_trial_ended, questioned_app, right_answer, num_user_manual_override_App1, num_user_manual_override_App2, num_user_manual_override_App3

0, 0, 7.209025, 1, 1, 0, 0, 0
1, 0, 7.960748, 2, 1, 0, 0, 0
2, 0, 9.686345, 1, 1, 0, 0, 0
3, 0, 10.31847, 2, 0, 0, 0, 0
4, 0, 10.56866, 3, 0, 0, 0, 0
5, 0, 11.36104, 2, 1, 0, 0, 0
6, 0, 11.59473, 1, 0, 0, 0, 0
7, 0, 12.40969, 3, 0, 0, 0, 0
8, 0, 13.36164, 3, 1, 0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
