
Trial_number, time_asked, time_trial_ended, questioned_app, right_answer, num_user_manual_override_App1, num_user_manual_override_App2, num_user_manual_override_App3

0, 0, 5.984605, 1, 1, 0, 0, 0
1, 0, 6.551764, 2, 1, 0, 0, 0
2, 0, 7.311795, 1, 1, 0, 0, 0
3, 0, 7.483965, 2, 0, 0, 0, 0
4, 0, 7.675906, 3, 0, 0, 0, 0
5, 0, 7.82456, 2, 1, 0, 0, 0
6, 0, 7.974409, 1, 0, 0, 0, 0
7, 0, 8.5263, 3, 0, 0, 0, 0
8, 0, 9.087787, 3, 1, 0, 0, 0
0, 0, 0
0, 0, 0
