
Time, Event 


4/19/2021 5:47:34 PM,Glanceable Session Started
Time, Event 



4/19/2021 5:49:03 PM,Glanceable Session Started


4/19/2021 5:49:03 PM,Glanceable Session Started
4/19/2021 5:49:08 PM, Manually made Translucent
4/19/2021 5:49:09 PM, Manually made Opaque
Time, Event 



4/19/2021 6:01:12 PM,Glanceable Session Started


4/19/2021 6:01:12 PM,Glanceable Session Started
4/19/2021 6:01:20 PM, Manually made Translucent
4/19/2021 6:01:21 PM, Manually made Opaque


4/19/2021 6:01:27 PM,Glanceable Session Started
4/19/2021 6:01:29 PM, Manually made Translucent


4/19/2021 6:01:43 PM,ACI Session Started
4/19/2021 6:01:56 PM, Manually made Opaque
Time, Event 



4/19/2021 6:21:54 PM,Glanceable Session Started


4/19/2021 6:21:54 PM,Glanceable Session Started
Time, Event 



4/19/2021 6:24:51 PM,Glanceable Session Started


4/19/2021 6:24:51 PM,Glanceable Session Started
Time, Event 



4/19/2021 6:25:30 PM,Glanceable Session Started


4/19/2021 6:25:30 PM,Glanceable Session Started
Time, Event 



4/19/2021 6:25:42 PM,Glanceable Session Started


4/19/2021 6:25:42 PM,Glanceable Session Started
Time, Event 



4/19/2021 6:26:35 PM,Glanceable Session Started


4/19/2021 6:26:35 PM,Glanceable Session Started
Time, Event 



4/19/2021 6:27:02 PM,Glanceable Session Started


4/19/2021 6:27:02 PM,Glanceable Session Started
4/19/2021 6:27:25 PM, Manually made Translucent
4/19/2021 6:27:27 PM, Manually made Opaque
Time, Event 



4/19/2021 6:27:52 PM,Glanceable Session Started


4/19/2021 6:27:52 PM,Glanceable Session Started
Time, Event 



4/19/2021 6:28:42 PM,Glanceable Session Started


4/19/2021 6:28:42 PM,Glanceable Session Started


4/19/2021 6:29:12 PM,Glanceable Session Started
4/19/2021 6:29:17 PM, Manually made Translucent
4/19/2021 6:29:18 PM, Manually made Opaque
4/19/2021 6:29:24 PM, Manually made Translucent
4/19/2021 6:29:25 PM, Manually made Opaque


4/19/2021 6:29:26 PM,ACI Session Started
Time, Event 



4/19/2021 6:32:50 PM,Glanceable Session Started


4/19/2021 6:32:50 PM,Glanceable Session Started


4/19/2021 6:32:57 PM,Glanceable Session Started


4/19/2021 6:33:01 PM,ACI Session Started
4/19/2021 6:33:56 PM, Manually made Opaque
4/19/2021 6:33:58 PM, Manually made Translucent
4/19/2021 6:35:09 PM, Manually made Opaque
4/19/2021 6:35:10 PM, Manually made Translucent
Time, Event 



4/19/2021 6:35:36 PM,Glanceable Session Started


4/19/2021 6:35:36 PM,Glanceable Session Started
4/19/2021 6:35:41 PM, Manually made Translucent
4/19/2021 6:35:42 PM, Manually made Opaque
4/19/2021 6:35:43 PM, Manually made Translucent
4/19/2021 6:35:43 PM, Manually made Opaque


4/19/2021 6:35:50 PM,Glanceable Session Started


4/19/2021 6:35:51 PM,ACI Session Started
4/19/2021 6:36:03 PM, Manually made Opaque
Time, Event 



4/19/2021 6:36:44 PM,Glanceable Session Started


4/19/2021 6:36:44 PM,Glanceable Session Started
