
Time, Event 
4/19/2021 5:40:47 PM, Session Changed to Solo Glanceable
Time, Event 



4/19/2021 5:47:34 PM, Session Changed to Solo Glanceable
4/19/2021 5:47:45 PM, App answers changed to 1
Time, Event 



4/19/2021 5:49:03 PM, Session Changed to Solo Glanceable
Time, Event 



4/19/2021 6:01:12 PM, Session Changed to Solo Glanceable
4/19/2021 6:01:23 PM, App answers changed to 1


4/19/2021 6:01:27 PM, Session Changed to Social Glanceable
4/19/2021 6:01:33 PM, App answers changed to 1
4/19/2021 6:01:43 PM, App answers changed to 3


4/19/2021 6:01:43 PM, Session Changed to ACI
4/19/2021 6:01:53 PM, App answers changed to 4
4/19/2021 6:02:03 PM, App answers changed to 0
Time, Event 



4/19/2021 6:21:54 PM, Session Changed to Solo Glanceable
Time, Event 



4/19/2021 6:24:51 PM, Session Changed to Solo Glanceable
4/19/2021 6:25:02 PM, App answers changed to 1
4/19/2021 6:25:12 PM, App answers changed to 4
Time, Event 



4/19/2021 6:25:30 PM, Session Changed to Solo Glanceable
Time, Event 



4/19/2021 6:25:42 PM, Session Changed to Solo Glanceable
4/19/2021 6:25:52 PM, App answers changed to 1
4/19/2021 6:26:02 PM, App answers changed to 5
Time, Event 



4/19/2021 6:26:35 PM, Session Changed to Solo Glanceable
4/19/2021 6:26:45 PM, App answers changed to 1
Time, Event 



4/19/2021 6:27:02 PM, Session Changed to Solo Glanceable
4/19/2021 6:27:13 PM, App answers changed to 1
4/19/2021 6:27:23 PM, App answers changed to 0
4/19/2021 6:27:33 PM, App answers changed to 3
Time, Event 



4/19/2021 6:27:52 PM, Session Changed to Solo Glanceable
Time, Event 



4/19/2021 6:28:42 PM, Session Changed to Solo Glanceable
4/19/2021 6:28:53 PM, App answers changed to 1
4/19/2021 6:29:03 PM, App answers changed to 5


4/19/2021 6:29:12 PM, Session Changed to Social Glanceable
4/19/2021 6:29:13 PM, App answers changed to 0
4/19/2021 6:29:23 PM, App answers changed to 2


4/19/2021 6:29:26 PM, Session Changed to ACI
4/19/2021 6:29:33 PM, App answers changed to 1
Time, Event 



4/19/2021 6:32:50 PM, Session Changed to Solo Glanceable


4/19/2021 6:32:57 PM, Session Changed to Social Glanceable


4/19/2021 6:33:01 PM, Session Changed to ACI
4/19/2021 6:33:01 PM, App answers changed to 1
4/19/2021 6:33:11 PM, App answers changed to 3
4/19/2021 6:33:21 PM, App answers changed to 0
4/19/2021 6:33:31 PM, App answers changed to 5
4/19/2021 6:33:41 PM, App answers changed to 3
4/19/2021 6:33:51 PM, App answers changed to 2
4/19/2021 6:34:01 PM, App answers changed to 0
4/19/2021 6:34:11 PM, App answers changed to 4
4/19/2021 6:34:21 PM, App answers changed to 1
4/19/2021 6:34:31 PM, App answers changed to 3
4/19/2021 6:34:41 PM, App answers changed to 2
4/19/2021 6:34:51 PM, App answers changed to 5
4/19/2021 6:35:01 PM, App answers changed to 2
4/19/2021 6:35:11 PM, App answers changed to 0
Time, Event 



4/19/2021 6:35:36 PM, Session Changed to Solo Glanceable
4/19/2021 6:35:46 PM, App answers changed to 1


4/19/2021 6:35:50 PM, Session Changed to Social Glanceable


4/19/2021 6:35:51 PM, Session Changed to ACI
4/19/2021 6:35:56 PM, App answers changed to 1
4/19/2021 6:36:06 PM, App answers changed to 5
Time, Event 



4/19/2021 6:36:44 PM, Session Changed to Solo Glanceable
Time, Event 



4/19/2021 6:56:22 PM, Session Changed to Solo Glanceable
Time, Event 



4/19/2021 6:56:39 PM, Session Changed to Solo Glanceable
Time, Event 



4/19/2021 6:57:33 PM, Session Changed to Solo Glanceable
4/19/2021 6:57:43 PM, App answers changed to 1
4/19/2021 6:57:53 PM, App answers changed to 1


4/19/2021 6:57:56 PM, Session Changed to ACI


4/19/2021 6:58:01 PM, Session Changed to Social Glanceable
4/19/2021 6:58:03 PM, App answers changed to 1
4/19/2021 6:58:13 PM, App answers changed to 1
4/19/2021 6:58:23 PM, App answers changed to 5
4/19/2021 6:58:33 PM, App answers changed to 0


4/19/2021 6:58:38 PM, Session Changed to ACI
4/19/2021 6:58:43 PM, App answers changed to 1
4/19/2021 6:58:53 PM, App answers changed to 1
Time, Event 



4/19/2021 7:08:53 PM, Session Changed to Social ACI
Time, Event 



4/19/2021 7:09:12 PM, Session Changed to Social ACI
Time, Event 



4/19/2021 7:12:08 PM, Session Changed to Social ACI
4/19/2021 7:12:18 PM, App answers changed to 1


4/19/2021 7:12:19 PM, Session Changed to Basic AR
4/19/2021 7:12:28 PM, App answers changed to 4


4/19/2021 7:12:30 PM, Session Changed to Social ACI
4/19/2021 7:12:38 PM, App answers changed to 1
Time, Event 



4/23/2021 5:29:40 PM, Session Changed to Basic AR
Time, Event 



4/23/2021 5:30:02 PM, Session Changed to Basic AR
4/23/2021 5:30:16 PM, App answers changed to 1
4/23/2021 5:30:26 PM, App answers changed to 0
4/23/2021 5:30:40 PM, App answers changed to 4
4/23/2021 5:30:50 PM, App answers changed to 5


4/23/2021 5:30:50 PM, Session Changed to Social ACI
Time, Event 



4/24/2021 3:45:24 PM, Session Changed to Basic AR
4/24/2021 3:45:44 PM, App answers changed to 1


4/24/2021 3:45:46 PM, Session Changed to Social ACI
4/24/2021 6:55:23 PM -04:00, Session Changed to Basic AR
4/24/2021 6:55:34 PM -04:00,  App answers changed to 1
